st	st_complex
152	ST152 Cplx
1503	ST152 Cplx
5517	ST152 Cplx
9317	ST152 Cplx
6035	ST152 Cplx
5658	ST152 Cplx
1502	ST152 Cplx
1756	ST152 Cplx
1504	ST152 Cplx
6357	ST152 Cplx
7043	ST152 Cplx
5481	ST152 Cplx
6919	ST152 Cplx
7373	ST152 Cplx
8325	ST152 Cplx
10086	ST152 Cplx
10090	ST152 Cplx
10330	ST152 Cplx
10449	ST152 Cplx
5970	ST152 Cplx
7633	ST152 Cplx
7829	ST152 Cplx
8548	NA
8811	ST152 Cplx
8899	ST152 Cplx
10089	ST152 Cplx
8575	ST152 Cplx
5235	ST152 Cplx
5563	ST152 Cplx
5608	ST152 Cplx
7372	ST152 Cplx
